tier,score,name,ein,city,zip,metro_atlanta,focus,ntee,irs_status,form,fy,total_assets,total_revenue,grants_paid,loans_receivable,program_related_investments,why_shortlisted,suggested_segment,suggested_org_type,website,mission,approve
3,4,Link Counseling Center Inc,58-1109087,Sandy Springs,30328,yes,Health (mental/crisis),F600,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,7779217,1576232,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.THELINK.ORG,"TO PROVIDE COUNSELING, PSYCHOTHERAPY, SUPPORT GROUPS, AND REFERRAL SERVICES FOR PEOPLE IN NEED OF MENTAL HEALTH SERVICES.",
3,4,Waterford Dublin Development Inc,27-1073302,Smyrna,30080,yes,Housing,L20,Public charity: program-service supported 509(a)(2),990,2021,7680584,482692,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,"TO ACQUIRE, CONSTRUCT, OWN AND OPERATE A 56 UNIT RENTAL HOUSING FACILITY FOR LOW-INCOME RESIDENTS KNOWN AS WATERFORD ESTATES LOCATED IN DUBLIN, GEORGIA.",
3,4,Rosewood Cordele Development Inc,27-1073169,Smyrna,30080,yes,Housing,L22,Public charity: program-service supported 509(a)(2),990,2021,7173032,495785,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,"TO ACQUIRE, CONSTRUCT, OWN AND OPERATE A 56 UNIT RENTAL HOUSING FACILITY FOR LOW-INCOME RESIDENTS KNOWN AS ROSEWOOD ESTATES LOCATED IN CORDELE GEORGIA.",
3,4,Georgia Health Information Network,20-4374198,Atlanta,30328,yes,Health (mental/crisis),F05,Public charity: publicly supported 170(b)(1)(A)(vi),990,2020,7125109,3967633,0,0,0,Health (mental/crisis),Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.GAHIN.ORG,THE ORGANIZATION'S MISSION IS To facilitate a statewide health information network for Georgia that is trusted and valued by all stakeholders; works to improve health care coordination and reduces costs; and establishes ,
3,4,Briarcliff Oaks Inc,26-3359065,Atlanta,30329,yes,Housing,L21,Public charity: program-service supported 509(a)(2),990,2021,6854323,1980446,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.BRIARCLIFFOAKS.ORG,"QUALITY, LOW INCOME HOUSING AND SERVICES FOR THE ELDERLY.",
3,4,Champions Community Foundation Inc,47-2058404,Johns Creek,30022,yes,Housing,L25,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,6758980,1049035,131759,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),http://www.championscommunityfoundation.org,The organization provides community events and assistance to young adults with physical and mental handicaps. The organization will build a home for Disabled Adults to live and provide them the opportunity to live an ind,
3,4,Campbell Stone Apartments Inc,58-0938908,Atlanta,30305,yes,Housing,L22,Public charity: program-service supported 509(a)(2),990,2021,6624311,23379,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),N/A,"The mission is to provide retirement living with an emphasis on value, services and quality amenities. We embrace your family as our family in a nurturing environment that enhances quality of life, encourages personal gr",
3,4,Atlanta Childrens Shelter Inc,58-1675299,Atlanta,30308,yes,Housing,L41Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,6027405,2185786,135810,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.ACSATL.ORG,"TO BREAK THE CYCLE OF POVERTY FOR FAMILIES FACING HOMELESSNESS BY BUILDING PATHWAYS TO LONG-TERM SELF-SUFFICIENCY, AND PROVIDING QUALITY EARLY CHILDHOOD EDUCATION.",
3,4,Campbell-Stone North Apartments Inc,58-1330246,Atlanta,30328,yes,Housing,L210,Public charity: program-service supported 509(a)(2),990,2021,6006161,3723333,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.CAMPBELLSTONE.ORG,"THE MISSION IS TO PROVIDE RETIREMENT LIVING WITH AN EMPHASIS ON VALUE, SERVICES AND QUALITY AMENITIES. WE EMBRACE YOUR FAMILY AS OUR FAMILY IN A NURTURING ENVIRONMENT THAT ENHANCES QUALITY OF LIFE, ENCOURAGES PERSONAL GR",
3,4,Initiative For Affordable Housing Dekalb Inc,58-1932474,Scottdale,30079,yes,Housing,L21Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,5957478,2138243,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),AFFORDABLEHOUSINGATL.ORG,AFFORDABLE LOW-INCOME HOUSING.,
3,4,Vernon Woods Retirement Community H Csr,58-2575049,Marietta,30062,yes,Housing,L22,Public charity: program-service supported 509(a)(2),990,2021,5842886,3424161,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.WELLSTAR.ORG,SEE SCHEDULE O,
3,4,Evangeline Booth Friendship House Residence,20-3891681,Brookhaven,30329,yes,Housing,L22,Public charity: program-service supported 509(a)(2),990,2020,5707020,804139,0,0,0,Housing,Capital Seeker,Nonprofit (Community Dev. or Social Services),WWW.USS.SALVATIONARMY.ORG,"PROVIDE AFFORDABLE HOUSING FOR THE ELDERLY, HANDICAPPED AND DISABLED.",
